AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorado
CT,Connecticut
DE,Delaware
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Michigan
MN,Minnesota
MS,Mississippi
MO,Missouri
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
NC,North Carolina
ND,North Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
GU,GUAM
AL,ALABAMA
AS,AMERICAN SAMOA
AR,ARKANSAS
AE,Armed Forces Africa
AZ,ARIZONA
AA,Armed Forces Americas (except Canada)
CA,CALIFORNIA
AE,Armed Forces Canada
CO,COLORADO
AE,Armed Forces Europe
CT,CONNECTICUT
AE,Armed Forces Middle East
DC,DISTRICT OF COLUMBIA
AP,Armed Forces Pacific
DE,DELAWARE
FM,FEDERATED STATES OF MICRONESIA
FL,FLORIDA
MH,MARSHALL ISLANDS
GA,GEORGIA
MP,NORTHERN MARIANA ISLANDS
HI,HAWAII
PW,PALAU
IA,IOWA
PR,PUERTO RICO
ID,IDAHO
VI,VIRGIN ISLANDS
